epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
114,3513.88,0.23964,0.08596,0.003,0.00079,0.91764,0.8322,0.82625,0.70419,0.72392,0.57105,0.00453,0.00454,0.00040462,0.00040462,0.00040462
115,3606.27,0.2398,0.0868,0.00302,0.00079,0.91796,0.83448,0.82694,0.7047,0.72387,0.56142,0.00453,0.00444,0.000397019,0.000397019,0.000397019
116,3698.69,0.23185,0.08334,0.00301,0.00076,0.91035,0.83801,0.8288,0.70622,0.72412,0.56825,0.00453,0.00449,0.000389445,0.000389445,0.000389445
117,3790.2,0.23981,0.08672,0.00301,0.00076,0.90745,0.83823,0.82724,0.70468,0.72531,0.56565,0.00454,0.00449,0.000381899,0.000381899,0.000381899
118,3882.96,0.23222,0.08324,0.00301,0.00073,0.89596,0.84466,0.82679,0.70466,0.72266,0.56673,0.00454,0.00445,0.000374383,0.000374383,0.000374383
119,3975.28,0.22833,0.08204,0.00302,0.00074,0.91639,0.82904,0.82632,0.70444,0.72145,0.56982,0.00453,0.00444,0.000366899,0.000366899,0.000366899
120,4067.85,0.22992,0.08217,0.00302,0.00075,0.91388,0.83561,0.828,0.70564,0.72182,0.57217,0.00452,0.00441,0.00035945,0.00035945,0.00035945
121,4161.21,0.22595,0.08125,0.00302,0.00074,0.90828,0.83721,0.82484,0.70227,0.72022,0.56574,0.00451,0.00447,0.000352037,0.000352037,0.000352037
122,4253.85,0.22366,0.08041,0.003,0.00072,0.90628,0.84268,0.82679,0.7055,0.72173,0.57097,0.00452,0.00444,0.000344661,0.000344661,0.000344661
123,4347.3,0.22473,0.08048,0.00299,0.00072,0.91868,0.83737,0.82716,0.7057,0.72245,0.56745,0.00451,0.00444,0.000337325,0.000337325,0.000337325
124,4439.06,0.22443,0.07943,0.003,0.00071,0.91675,0.83104,0.82838,0.70611,0.72186,0.57242,0.00453,0.00445,0.00033003,0.00033003,0.00033003
125,4531.1,0.21694,0.07695,0.00301,0.0007,0.89959,0.84621,0.82826,0.70514,0.72044,0.56227,0.00453,0.00446,0.000322778,0.000322778,0.000322778
126,4623.96,0.2144,0.076,0.00299,0.00068,0.91415,0.83404,0.82582,0.70398,0.71943,0.57251,0.00453,0.0045,0.000315572,0.000315572,0.000315572
127,4717.05,0.21174,0.0753,0.00298,0.00067,0.89987,0.844,0.82745,0.70613,0.71683,0.56677,0.00453,0.00448,0.000308412,0.000308412,0.000308412
128,4809.69,0.21402,0.07567,0.00298,0.00068,0.91483,0.83438,0.82567,0.70386,0.72085,0.57411,0.00453,0.0045,0.0003013,0.0003013,0.0003013
127,91.8262,0.20948,0.07439,0.00298,0.00067,0.9046,0.84256,0.82864,0.70705,0.71875,0.57102,0.00452,0.00444,0.000308412,0.000308412,0.000308412
128,182.006,0.21528,0.0764,0.003,0.0007,0.90625,0.83798,0.82668,0.70608,0.71701,0.56575,0.00452,0.00441,0.0003013,0.0003013,0.0003013
129,272.705,0.21436,0.07652,0.00299,0.00068,0.90116,0.84296,0.82607,0.7039,0.71945,0.56781,0.00452,0.00446,0.000294239,0.000294239,0.000294239
130,363.614,0.21178,0.07529,0.00298,0.00066,0.90089,0.84479,0.82754,0.70483,0.71814,0.5686,0.00452,0.00442,0.00028723,0.00028723,0.00028723
131,455.062,0.2108,0.07471,0.00299,0.00065,0.91799,0.83245,0.8244,0.7037,0.71823,0.56993,0.00452,0.00441,0.000280275,0.000280275,0.000280275
132,546.327,0.20947,0.07421,0.00299,0.00065,0.91811,0.82837,0.82682,0.70452,0.71784,0.57303,0.00451,0.00442,0.000273375,0.000273375,0.000273375
133,637.637,0.20683,0.07306,0.00298,0.00066,0.91282,0.83602,0.8275,0.70452,0.71853,0.57171,0.00452,0.0044,0.000266532,0.000266532,0.000266532
134,728.576,0.20679,0.07323,0.00297,0.00066,0.91392,0.83514,0.82572,0.70399,0.71923,0.56814,0.00452,0.00442,0.000259748,0.000259748,0.000259748
135,820.255,0.20623,0.07244,0.00298,0.00064,0.91528,0.83281,0.82589,0.70425,0.71567,0.56976,0.00451,0.0044,0.000253024,0.000253024,0.000253024
136,911.589,0.2022,0.07117,0.00297,0.00063,0.91873,0.82992,0.8269,0.70467,0.71487,0.56577,0.00451,0.00441,0.000246363,0.000246363,0.000246363
137,1002.77,0.20174,0.07107,0.00297,0.00063,0.9058,0.83996,0.8276,0.70413,0.71592,0.56744,0.00451,0.00441,0.000239766,0.000239766,0.000239766
138,1093.94,0.19984,0.07014,0.00297,0.00062,0.91574,0.83198,0.82583,0.70327,0.71445,0.56613,0.00451,0.00442,0.000233234,0.000233234,0.000233234
