epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
61,4745.45,0.90107,0.55661,0.00363,0.00891,0.93643,0.86768,0.87812,0.7653,0.77747,0.54096,0.00474,0.00547,0.000795954,0.000795954,0.000795954
62,4822.82,0.90333,0.56998,0.00367,0.00909,0.9463,0.86442,0.88463,0.77178,0.77279,0.51644,0.00475,0.00502,0.000789628,0.000789628,0.000789628
63,4900.9,0.9123,0.57852,0.00371,0.00858,0.94139,0.8719,0.88565,0.76918,0.7828,0.51315,0.00479,0.00506,0.000783231,0.000783231,0.000783231
64,4979.3,0.91575,0.57075,0.00365,0.00904,0.93933,0.86894,0.87935,0.7671,0.76586,0.50258,0.00475,0.00526,0.000776766,0.000776766,0.000776766
65,5056.38,0.91421,0.57867,0.00371,0.00875,0.94165,0.86464,0.88065,0.76547,0.77008,0.51873,0.00473,0.00529,0.000770234,0.000770234,0.000770234
66,5133.91,0.90399,0.55242,0.00366,0.00894,0.94028,0.86017,0.88106,0.76681,0.76427,0.52562,0.00474,0.00566,0.000763637,0.000763637,0.000763637
67,5211.57,0.90227,0.57073,0.00367,0.00871,0.949,0.8675,0.88123,0.76461,0.77771,0.52244,0.00475,0.00502,0.000756976,0.000756976,0.000756976
68,5290.29,0.90598,0.55815,0.00359,0.00878,0.94707,0.86012,0.88138,0.76738,0.76768,0.51848,0.00471,0.00494,0.000750252,0.000750252,0.000750252
69,5368.32,0.89893,0.56828,0.00366,0.00855,0.93981,0.8702,0.88581,0.77617,0.75554,0.49118,0.0047,0.00479,0.000743468,0.000743468,0.000743468
70,5445.57,0.90574,0.57164,0.00365,0.00861,0.92794,0.87394,0.88342,0.77377,0.75592,0.51572,0.00472,0.00494,0.000736625,0.000736625,0.000736625
71,5522.73,0.89556,0.56054,0.00368,0.0088,0.94612,0.86735,0.88783,0.77607,0.75993,0.48265,0.0047,0.00476,0.000729725,0.000729725,0.000729725
72,5600.83,0.91674,0.57619,0.00365,0.00867,0.9451,0.86821,0.88549,0.77321,0.76432,0.51442,0.00473,0.00468,0.00072277,0.00072277,0.00072277
73,5678.84,0.88667,0.54684,0.00359,0.00841,0.94022,0.86987,0.8857,0.77583,0.75684,0.50971,0.00471,0.00476,0.000715761,0.000715761,0.000715761
74,5755.73,0.89122,0.54505,0.00369,0.00829,0.94587,0.86639,0.87835,0.76922,0.75844,0.50761,0.00472,0.00494,0.0007087,0.0007087,0.0007087
75,5833.23,0.91214,0.57202,0.0037,0.00839,0.94228,0.86873,0.88536,0.77678,0.75415,0.50511,0.00473,0.00508,0.000701588,0.000701588,0.000701588
76,5910.44,0.88537,0.53913,0.00363,0.00846,0.94607,0.8711,0.88038,0.77272,0.75304,0.50399,0.0047,0.00488,0.000694428,0.000694428,0.000694428
77,5988.18,0.90012,0.55799,0.00362,0.00823,0.94128,0.88015,0.88579,0.77656,0.75668,0.51219,0.0047,0.0051,0.000687222,0.000687222,0.000687222
78,6065.63,0.89116,0.55627,0.00366,0.00792,0.9484,0.86876,0.88077,0.77078,0.76193,0.51467,0.00472,0.0047,0.00067997,0.00067997,0.00067997
79,6142.63,0.88373,0.54487,0.00368,0.00833,0.94663,0.87212,0.88379,0.77717,0.75094,0.50121,0.00471,0.00466,0.000672675,0.000672675,0.000672675
80,6219.29,0.87448,0.52911,0.00364,0.00822,0.95571,0.86336,0.88376,0.77418,0.75989,0.52063,0.00471,0.00446,0.000665339,0.000665339,0.000665339
81,6296.07,0.89165,0.55977,0.00369,0.00842,0.94627,0.87018,0.88562,0.77575,0.75374,0.48323,0.00471,0.00476,0.000657963,0.000657963,0.000657963
82,6373.35,0.89691,0.55025,0.00364,0.00841,0.95261,0.87116,0.88582,0.77689,0.75612,0.50874,0.0047,0.00443,0.00065055,0.00065055,0.00065055
83,6450.99,0.88793,0.537,0.00359,0.008,0.94956,0.86534,0.87916,0.77061,0.76407,0.5169,0.00471,0.00477,0.000643101,0.000643101,0.000643101
84,6528.6,0.88494,0.53912,0.00366,0.0082,0.95339,0.86734,0.88287,0.77357,0.75388,0.49965,0.00471,0.00464,0.000635617,0.000635617,0.000635617
85,6605.76,0.8772,0.54132,0.00364,0.00787,0.95463,0.8605,0.88701,0.7808,0.7489,0.4764,0.00467,0.00464,0.000628101,0.000628101,0.000628101
86,6681.97,0.87948,0.54098,0.00364,0.00786,0.95159,0.87046,0.88257,0.7741,0.75148,0.50838,0.00469,0.00484,0.000620555,0.000620555,0.000620555
87,6759.25,0.88029,0.52834,0.00361,0.00805,0.95031,0.87807,0.88255,0.77607,0.7556,0.50284,0.00472,0.00449,0.000612981,0.000612981,0.000612981
88,6836.76,0.87287,0.53199,0.00362,0.00813,0.94761,0.88322,0.88608,0.78021,0.74476,0.4961,0.0047,0.00448,0.00060538,0.00060538,0.00060538
89,6915.11,0.87243,0.5258,0.00359,0.00835,0.95315,0.87461,0.8834,0.77788,0.7414,0.50029,0.00469,0.00449,0.000597754,0.000597754,0.000597754
