epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
135,11355,0.82357,0.46885,0.00354,0.00659,0.95308,0.88467,0.87958,0.7763,0.72912,0.48771,0.0046,0.00376,0.000253024,0.000253024,0.000253024
136,11438.5,0.81791,0.45629,0.00357,0.00683,0.95748,0.87907,0.88038,0.77738,0.72586,0.48217,0.00459,0.00375,0.000246363,0.000246363,0.000246363
137,11522.5,0.80009,0.44328,0.00351,0.00668,0.95533,0.88276,0.88058,0.77737,0.7259,0.48011,0.00459,0.00374,0.000239766,0.000239766,0.000239766
138,11606.7,0.80513,0.44285,0.00347,0.00655,0.95586,0.88037,0.8834,0.77959,0.72853,0.48191,0.0046,0.00379,0.000233234,0.000233234,0.000233234
139,11690.4,0.80779,0.44432,0.00351,0.00644,0.95452,0.88377,0.88228,0.77945,0.72563,0.47803,0.00459,0.00395,0.000226769,0.000226769,0.000226769
140,11774.4,0.81013,0.449,0.0035,0.00682,0.95417,0.87901,0.88088,0.77873,0.72706,0.48679,0.0046,0.00381,0.000220372,0.000220372,0.000220372
141,11858.5,0.79894,0.44029,0.00351,0.00627,0.95266,0.8816,0.88122,0.77804,0.72614,0.48279,0.0046,0.00374,0.000214046,0.000214046,0.000214046
142,11941.8,0.80966,0.45377,0.00349,0.00629,0.95294,0.88489,0.88187,0.77997,0.72768,0.48062,0.0046,0.00376,0.000207792,0.000207792,0.000207792
143,12024.5,0.79904,0.4476,0.00354,0.00675,0.95488,0.88037,0.8828,0.78089,0.7283,0.48943,0.00462,0.00382,0.000201611,0.000201611,0.000201611
144,12108.2,0.81759,0.46648,0.0035,0.00627,0.95453,0.88181,0.88195,0.77953,0.72514,0.48085,0.00461,0.00407,0.000195505,0.000195505,0.000195505
145,12191.7,0.81307,0.45718,0.00349,0.00638,0.94967,0.88677,0.88521,0.78232,0.72354,0.47286,0.0046,0.00385,0.000189475,0.000189475,0.000189475
146,12273.9,0.79219,0.44111,0.00351,0.00616,0.95218,0.88077,0.87937,0.77679,0.72917,0.49057,0.0046,0.00387,0.000183523,0.000183523,0.000183523
147,12357.8,0.81577,0.45501,0.00348,0.00639,0.95583,0.88267,0.88483,0.78177,0.72271,0.47594,0.0046,0.00382,0.000177651,0.000177651,0.000177651
148,12441.1,0.80513,0.45106,0.00353,0.00661,0.95558,0.88108,0.88251,0.77924,0.72569,0.48284,0.0046,0.00384,0.000171859,0.000171859,0.000171859
